scrape_time_utc,river_level,measurement_time
2025-12-28T14:39:34.549326Z,0.67m,2025-12-28T14:15:00Z
2025-12-28T15:34:29.048830Z,0.66m,2025-12-28T14:45:00Z
2025-12-28T15:48:13.156165Z,0.67m,2025-12-28T15:15:00Z
2025-12-28T16:52:53.297008Z,0.67m,2025-12-28T16:15:00Z
2025-12-28T17:51:22.611522Z,0.66m,2025-12-28T17:15:00Z
2025-12-28T18:55:58.037055Z,0.67m,2025-12-28T18:15:00Z
2025-12-28T19:27:36.975789Z,0.67m,2025-12-28T18:45:00Z
2025-12-28T19:43:55.543168Z,0.67m,2025-12-28T19:15:00Z
2025-12-28T20:44:46.969320Z,0.67m,2025-12-28T20:15:00Z
2025-12-28T22:58:55.761766Z,0.67m,2025-12-28T22:15:00Z
2025-12-29T05:47:40.470872Z,0.66m,2025-12-29T05:15:00Z
2025-12-29T07:47:34.565751Z,0.66m,2025-12-29T07:15:00Z
2025-12-29T09:01:23.347616Z,0.66m,2025-12-29T08:15:00Z
2025-12-29T09:55:51.853036Z,0.66m,2025-12-29T09:15:00Z
2025-12-29T10:50:39.323958Z,0.66m,2025-12-29T10:15:00Z
2025-12-29T11:38:20.865218Z,0.65m,2025-12-29T11:15:00Z
2025-12-29T13:52:43.321170Z,0.63m,2025-12-29T13:15:00Z
2025-12-29T14:45:17.411872Z,0.61m,2025-12-29T14:15:00Z
2025-12-29T15:59:03.214161Z,0.60m,2025-12-29T15:15:00Z
2025-12-29T16:55:14.144799Z,0.58m,2025-12-29T16:15:00Z
2025-12-29T17:38:57.311466Z,0.56m,2025-12-29T17:15:00Z
2025-12-29T19:30:23.043864Z,0.53m,2025-12-29T18:45:00Z
2025-12-29T19:44:44.722808Z,0.52m,2025-12-29T19:15:00Z
2025-12-29T20:47:54.612041Z,0.50m,2025-12-29T20:15:00Z
2025-12-29T21:36:29.410409Z,0.51m,2025-12-29T20:45:00Z
2025-12-29T21:48:52.556273Z,0.51m,2025-12-29T21:15:00Z
2025-12-29T22:59:05.158648Z,0.50m,2025-12-29T21:45:00Z
2025-12-30T05:48:55.726844Z,0.50m,2025-12-30T05:15:00Z
2025-12-30T07:48:25.936659Z,0.50m,2025-12-30T07:15:00Z
2025-12-30T09:54:58.678595Z,0.50m,2025-12-30T09:00:00Z
2025-12-30T10:57:03.466167Z,0.51m,2025-12-30T10:15:00Z
2025-12-30T11:42:03.358041Z,0.50m,2025-12-30T11:15:00Z
2025-12-30T13:56:22.098611Z,0.51m,2025-12-30T13:15:00Z
2025-12-30T14:49:57.779368Z,0.51m,2025-12-30T14:15:00Z
2025-12-30T15:46:45.740806Z,0.51m,2025-12-30T15:15:00Z
2025-12-30T16:57:19.344039Z,0.50m,2025-12-30T16:15:00Z
2025-12-30T17:46:09.900047Z,0.50m,2025-12-30T17:15:00Z
2025-12-30T18:59:36.311724Z,0.50m,2025-12-30T18:15:00Z
2025-12-30T19:44:58.541276Z,0.51m,2025-12-30T19:00:00Z
2025-12-31T03:58:19.987761Z,0.50m,2025-12-31T03:15:00Z
2025-12-31T05:00:37.482973Z,0.51m,2025-12-31T04:15:00Z
2025-12-31T05:50:48.544021Z,0.50m,2025-12-31T05:15:00Z
2025-12-31T07:02:22.229746Z,0.51m,2025-12-31T06:15:00Z
2025-12-31T07:44:06.746311Z,0.51m,2025-12-31T07:15:00Z
2025-12-31T08:58:27.138583Z,0.51m,2025-12-31T08:15:00Z
2025-12-31T09:48:40.661057Z,0.51m,2025-12-31T09:15:00Z
2025-12-31T10:48:43.757462Z,0.51m,2025-12-31T10:15:00Z
2025-12-31T11:34:35.099086Z,0.51m,2025-12-31T10:45:00Z
2025-12-31T11:46:34.269443Z,0.51m,2025-12-31T11:15:00Z
2025-12-31T13:59:10.777974Z,0.51m,2025-12-31T13:15:00Z
2025-12-31T14:47:00.350050Z,0.51m,2025-12-31T14:15:00Z
2025-12-31T15:42:06.430263Z,0.51m,2025-12-31T15:15:00Z
2025-12-31T16:54:10.798098Z,0.51m,2025-12-31T16:15:00Z
2025-12-31T17:37:21.881832Z,0.51m,2025-12-31T17:15:00Z
2025-12-31T18:56:10.549433Z,0.51m,2025-12-31T18:15:00Z
2025-12-31T19:30:51.137980Z,0.51m,2025-12-31T18:45:00Z
2025-12-31T19:44:32.446364Z,0.51m,2025-12-31T19:15:00Z
2025-12-31T20:44:44.726070Z,0.50m,2025-12-31T19:45:00Z
2025-12-31T21:47:28.596022Z,0.51m,2025-12-31T21:15:00Z
2026-01-01T04:19:52.997836Z,0.51m,2026-01-01T03:45:00Z
2026-01-01T05:59:48.080192Z,0.51m,2026-01-01T05:15:00Z
2026-01-01T07:43:33.199093Z,0.51m,2026-01-01T07:15:00Z
2026-01-01T09:48:11.453093Z,0.50m,2026-01-01T09:15:00Z
2026-01-01T10:49:44.998346Z,0.50m,2026-01-01T10:15:00Z
2026-01-01T11:34:09.322638Z,0.50m,2026-01-01T10:45:00Z
2026-01-01T11:59:04.000369Z,0.50m,2026-01-01T11:15:00Z
2026-01-01T13:49:02.195750Z,0.50m,2026-01-01T13:15:00Z
2026-01-01T14:46:01.278408Z,0.50m,2026-01-01T14:15:00Z
2026-01-01T15:59:01.359214Z,0.50m,2026-01-01T15:15:00Z
2026-01-01T16:57:17.325154Z,0.50m,2026-01-01T16:15:00Z
2026-01-01T17:39:44.736655Z,0.50m,2026-01-01T17:15:00Z
2026-01-01T18:58:19.768579Z,0.50m,2026-01-01T18:15:00Z
2026-01-01T19:31:46.380848Z,0.50m,2026-01-01T18:45:00Z
2026-01-01T19:44:59.191874Z,0.50m,2026-01-01T19:15:00Z
2026-01-01T20:47:08.114375Z,0.50m,2026-01-01T20:15:00Z
2026-01-01T21:49:05.710890Z,0.50m,2026-01-01T20:45:00Z
2026-01-02T05:05:33.878604Z,0.50m,2026-01-02T04:15:00Z
2026-01-02T06:00:40.179106Z,0.50m,2026-01-02T05:15:00Z
2026-01-02T07:59:15.085094Z,0.50m,2026-01-02T07:15:00Z
2026-01-02T08:59:00.721563Z,0.50m,2026-01-02T08:15:00Z
2026-01-02T09:48:20.092088Z,0.50m,2026-01-02T09:15:00Z
2026-01-02T10:47:44.813341Z,0.50m,2026-01-02T10:15:00Z
2026-01-02T11:33:14.859674Z,0.50m,2026-01-02T10:45:00Z
2026-01-02T11:46:30.649038Z,0.50m,2026-01-02T11:00:00Z
2026-01-02T13:59:21.666864Z,0.50m,2026-01-02T13:15:00Z
2026-01-02T14:58:58.782930Z,0.50m,2026-01-02T14:15:00Z
2026-01-02T15:44:36.599073Z,0.50m,2026-01-02T15:15:00Z
2026-01-02T17:38:34.934367Z,0.51m,2026-01-02T17:15:00Z
2026-01-02T18:57:17.914412Z,0.50m,2026-01-02T18:15:00Z
2026-01-02T19:26:05.752740Z,0.50m,2026-01-02T18:45:00Z
2026-01-02T19:45:02.277150Z,0.50m,2026-01-02T19:15:00Z
2026-01-02T20:45:03.855248Z,0.50m,2026-01-02T20:15:00Z
2026-01-02T21:31:26.930583Z,0.50m,2026-01-02T20:45:00Z
2026-01-02T21:45:40.813523Z,0.50m,2026-01-02T21:00:00Z
2026-01-02T22:47:02.413268Z,0.50m,2026-01-02T22:15:00Z
2026-01-03T03:51:44.128196Z,0.50m,2026-01-03T03:15:00Z
2026-01-03T04:57:02.971021Z,0.50m,2026-01-03T04:15:00Z
2026-01-03T05:47:25.999380Z,0.50m,2026-01-03T05:15:00Z
2026-01-03T07:01:17.000531Z,0.50m,2026-01-03T06:15:00Z
